# Version: 12
# Coordinate system: NIfTI:Scanner
# Created by: Brainsight 2.4.10
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Electrode Name	Electrode Type	Session Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
Right Ear	EEG	Session 1	63.0332	49.6993	-28.6341	0.0842	0.3193	0.9439	0.2583	-0.9219	0.2888	0.9624	0.2195	-0.1601
Headpoint5	EEG	Session 1	18.1197	-57.6944	64.5695	0.6248	0.4938	0.6048	-0.7679	0.2486	0.5903	0.1412	-0.8333	0.5346
Headpoint1	EEG	Session 1	-45.7191	44.9511	76.0441	-0.5374	-0.7731	-0.3370	0.5297	-0.6204	0.5784	-0.6562	0.1323	0.7429
Headpoint4	EEG	Session 1	-4.8162	16.6598	98.5960	-0.6128	0.7672	-0.1894	-0.7829	-0.6220	0.0132	-0.1076	0.1564	0.9818
Headpoint2	EEG	Session 1	22.3695	60.1793	84.7287	-0.6753	0.7353	0.0570	-0.6061	-0.5974	0.5251	0.4201	0.3201	0.8491
Left Ear	EEG	Session 1	-68.9153	36.4315	-32.3530	0.1121	-0.9295	-0.3514	-0.1292	-0.3643	0.9223	-0.9853	-0.0580	-0.1609
Headpoint3	EEG	Session 1	-43.5916	-49.8405	52.2583	-0.7416	0.3686	-0.5605	0.2602	-0.6121	-0.7467	-0.6184	-0.6996	0.3580
Headpoint6	EEG	Session 1	10.3565	-74.0745	15.4133	0.9710	0.0628	0.2305	-0.2318	0.0135	0.9727	0.0580	-0.9979	0.0276
Headpoint7	EEG	Session 1	16.6691	-53.8076	-41.8847	0.7440	-0.2443	0.6219	-0.6601	-0.4129	0.6275	0.1035	-0.8774	-0.4685
Nasion	EEG	Session 1	-11.5459	119.9844	11.8196	-0.9691	-0.0283	-0.2451	-0.2446	-0.0194	0.9694	-0.0322	0.9994	0.0119
